,age,sex,has_pets,is_parent,relation,is_driver,tr_per_month,median_tr,mean_tr
14004,34.0,2,0,1,4,0,84.60500097656251,308.0,4568.988521641371
15779,37.0,1,0,1,0,1,16.389086538461537,1313.5,1985.7392857142856
3570,52.0,2,0,0,0,0,9.63834375,2000.0,5247.368421052632
16062,39.0,2,0,1,0,0,10.097081339712918,673.88,2092.803894230769
9352,40.0,1,0,1,0,0,6.169636824324324,993.4,2089.472888888889
8539,30.0,2,0,0,0,0,5.273257978723405,198.6,272.32877192982454
15125,34.0,1,0,1,4,0,4.0423974609375,654.81,1068.7779411764704
9200,22.0,1,0,1,0,0,7.660287332214765,201.0,1113.3219333333334
11957,39.0,1,0,1,4,0,26.669444218241043,1118.34,3349.729182156133
15221,51.0,2,0,0,4,0,13.647502016129032,515.5,2561.6772661870505
24709,43.0,2,0,1,0,0,70.22426332288401,653.0,1228.846514945652
17199,35.0,1,0,1,0,0,1.277597222222222,4114.0,4942.235882352941
15745,44.0,1,0,0,0,0,26.5847080078125,467.09,915.8100178890876
6532,22.0,2,0,0,0,0,8.558868483412322,139.345,337.1110674157304
6568,51.0,1,0,0,0,0,7.539918032786885,494.835,1613.1322058823528
27182,37.0,2,0,1,0,0,86.23781249999999,496.0,1411.907478991597
27422,26.0,2,0,0,0,0,14.712688821752264,200.0,608.786625
6541,49.0,2,1,0,0,0,17.912849385245902,418.0,1728.2248746518103
4016,42.0,1,0,1,0,0,25.11539522058824,196.0,988.96299009901
27149,34.0,1,0,1,4,0,16.4186297318612,844.5550000000001,5094.870233918128
26539,32.0,2,0,0,0,0,62.07016804245283,400.0,999.401734772552
24441,36.0,2,0,0,4,0,27.700976123595503,431.0,1690.108888888889
406,41.0,1,0,1,0,0,1.58525390625,1633.0,3034.339333333333
5549,22.0,1,0,0,0,0,3.677587440381558,343.385,1255.377105263158
18844,43.0,2,0,0,0,0,2.9714099604221635,8000.0,8030.162162162162
20847,50.0,2,0,0,0,0,3.3117843264248705,4901.975,16398.903333333332
16432,53.0,2,0,0,0,0,2.8095576923076924,50000.0,58333.333333333336
1660,37.0,1,0,0,0,0,0.3780978260869565,1481.625,1481.625
22580,37.0,2,0,0,0,0,17.32560576923077,303.5,2230.0327027027024
6054,31.0,1,0,1,0,0,14.238914835164834,867.255,2092.0458389261744
27244,51.0,2,0,0,0,0,12.886386255924169,221.65,458.449552238806
12714,30.0,2,0,0,0,0,5.216382665094339,4100.0,9868.279724770642
5285,25.0,2,0,0,0,0,18.653319945141067,209.0,582.44726342711
17490,54.0,2,0,1,4,0,58.3968838028169,739.5,4376.756590538336
11570,50.0,2,0,1,0,0,31.05383868243243,730.0,1913.718145695364
1653,57.0,2,0,0,0,0,11.626508152173912,785.0,2130.6830081300814
7354,43.0,1,0,0,0,0,18.214192913385823,700.0,3180.8404473684213
20476,40.0,2,0,0,0,0,1.9764204545454545,13635.705,10185.482
15445,32.0,2,0,0,0,0,2.85345703125,6600.0,6847.066666666667
4720,56.0,1,0,1,0,0,29.56725,800.0,2806.203529411765
25299,51.0,1,1,0,0,0,34.580862676056334,680.6,1602.9111707988975
11051,34.0,1,0,0,0,0,8.131558441558441,920.0,2475.367430555556
7157,33.0,2,0,0,0,0,11.3541947492163,863.75,4070.058403361345
3792,38.0,1,0,1,0,0,21.65919943820225,1294.5,5469.036763157896
8936,36.0,1,0,1,0,0,0.253640625,1553.8200000000002,1553.8200000000002
14720,34.0,1,0,1,0,0,5.175956561922366,592.35,3927.52347826087
24048,29.0,2,0,0,4,0,21.83741545376712,250.0,1434.9981145584725
3982,44.0,2,0,1,4,0,9.471442463533226,554.435,775.4085416666666
362,32.0,2,0,0,0,0,31.44344881889764,423.2,1528.5821036585369
2518,32.0,2,0,1,0,0,17.7923275862069,594.5,1988.8321348314607
1993,41.0,2,0,1,4,0,19.670993449781665,1285.9,8565.316587837839
28123,37.0,1,0,1,1,0,5.467991852146264,799.0,1284.3063716814158
18739,41.0,2,0,0,4,0,1.1595,3537.75,3632.9
9457,60.0,2,0,0,0,0,26.551316489361703,603.84,1470.127960088692
3934,61.0,1,0,0,0,0,3.511947115384616,6500.0,9300.0
29839,43.0,2,0,0,0,0,36.42838582677165,331.875,1804.6843552631576
12764,35.0,2,0,0,0,0,4.737815448113207,1496.75,9289.908181818182
26291,34.0,1,0,1,0,0,12.714137658227848,1045.335,2200.363409090909
2694,40.0,1,0,0,0,0,2.3980568181818183,3499.0,4113.876923076923
23671,36.0,1,0,1,0,0,2.3594476744186044,693.0550000000001,815.5385
28592,50.0,2,0,0,0,0,9.99072996183206,500.0,1070.646511627907
15955,38.0,2,0,1,0,1,65.43928125000001,327.0,1783.6609738372092
3309,20.0,2,0,0,0,0,2.800939417177914,208.8,335.3011111111111
14747,47.0,1,0,1,0,0,18.09889885646688,840.0,1996.356100795756
17504,63.0,1,0,0,1,0,0.6043422833935018,2000.0,2158.090909090909
25814,24.0,1,0,0,0,0,0.4588473618090452,352.0,459.3333333333333
3697,55.0,1,1,0,0,0,22.985928,491.0,1543.3412711864405
17263,48.0,2,0,0,0,0,0.8260529749478079,20000.0,23503.930769230767
6793,59.0,1,0,0,0,0,17.519762195121952,823.7950000000001,2233.092966101695
5705,40.0,1,0,1,0,0,24.732956692913387,582.98,1100.9183333333335
6337,46.0,2,0,0,0,0,5.161245047543582,205.0,483.7417757009345
27069,58.0,1,0,0,0,0,6.926340144230769,3000.0,8383.649084507042
15869,39.0,1,1,1,0,0,25.85607441471572,359.5,844.5141338582677
9210,28.0,2,1,0,0,0,71.91129807692307,164.0,404.1266112956811
11351,43.0,2,0,1,0,0,30.677673061708862,259.96,784.8384301412872
21006,39.0,2,0,0,1,0,1.5647481343283582,20000.0,19176.774193548383
10258,39.0,2,0,0,0,0,18.299470858895702,248.0,828.9822448979593
29354,36.0,2,0,1,0,0,15.739786908646003,295.0,2278.2923659306
13078,54.0,2,0,0,4,0,11.511382211538464,287.85,2304.4147033898303
25207,44.0,2,0,0,6,0,5.0728125,30200.0,37093.46782608696
11108,38.0,2,0,1,4,0,4.526815068493151,1079.465,2205.617631578948
237,48.0,1,0,1,0,0,2.191853518821604,5000.0,12204.318181818182
6759,36.0,2,0,0,1,0,36.15590565286624,229.0,1255.9811528150133
17741,37.0,2,0,1,0,0,1.2146170774647886,802.8,828.3694117647059
7783,36.0,2,0,1,0,0,11.564010074013158,999.0,11384.72155844156
2346,42.0,1,0,1,0,0,35.09307971014493,501.0,1657.3782960893852
11965,31.0,1,0,1,4,0,14.97763943829114,623.99,2946.90845659164
16241,44.0,2,1,0,0,0,27.951196875,259.0,777.5006896551724
5508,52.0,2,0,0,4,0,6.835822745901639,403.19,8222.713138686131
11822,42.0,2,0,0,1,0,32.869916731974925,263.0,845.0314368650216
25076,34.0,1,1,0,0,0,19.424260227272725,911.02,4510.623675213676
14875,47.0,1,1,0,0,0,21.85990024937656,492.305,1091.661875
